UF,Idade,Sexo,Refeicao,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,caloria_total,nivel_caloria
CE,37,F,LANCHE,27.2,44.0,23.9,5.8,23.8,494.0,medium,606.7,MEDIA
MT,53,F,JANTAR,14.9,66.9,30.4,4.5,32.0,629.0,medium,737.8,ALTA
AM,33,F,CAFE DA MANHA,38.6,57.6,8.4,7.2,15.6,517.0,medium,537.2,MEDIA
AP,51,F,CAFE DA MANHA,30.5,49.5,26.6,8.0,11.4,550.0,medium,621.0,MEDIA
RN,65,M,JANTAR,22.8,83.6,11.8,6.6,17.5,539.0,medium,615.0,MEDIA
AP,70,F,LANCHE,13.3,42.1,18.5,13.4,23.1,347.0,low,507.3,MEDIA
PR,24,M,CAFE DA MANHA,37.7,65.6,14.7,5.7,12.2,564.0,medium,605.7,MEDIA
RO,26,M,CAFE DA MANHA,39.9,29.0,16.0,11.6,37.1,411.0,medium,591.2,MEDIA
RN,23,F,LANCHE,21.1,74.6,22.3,6.6,0.0,678.0,medium,596.7,MEDIA
MG,75,F,LANCHE,41.4,46.5,15.5,4.3,22.8,496.0,medium,590.9,MEDIA
CE,59,F,LANCHE,34.4,30.7,22.0,6.5,31.4,491.0,medium,597.0,MEDIA
SE,51,M,JANTAR,30.9,46.8,19.1,14.8,26.8,488.0,medium,619.5,MEDIA
RR,67,M,CAFE DA MANHA,42.4,0.0,16.3,14.9,18.1,322.0,low,418.5,MEDIA
PE,54,F,CAFE DA MANHA,12.7,38.6,10.5,7.3,2.0,304.0,low,322.3,BAIXA
AP,32,F,LANCHE,20.9,41.5,23.5,14.1,15.7,473.0,medium,552.1,MEDIA
AC,50,F,JANTAR,24.8,49.1,12.9,5.7,31.0,474.0,medium,547.1,MEDIA
GO,62,M,ALMOCO,16.6,60.0,32.1,4.6,29.8,567.0,medium,723.7,ALTA
BA,20,M,LANCHE,8.3,46.5,10.7,7.7,7.9,382.0,low,362.5,BAIXA
SC,56,F,CAFE DA MANHA,34.5,44.5,1.5,5.9,21.1,334.0,low,425.7,MEDIA
CE,49,F,CAFE DA MANHA,30.1,68.7,18.4,15.6,17.4,586.0,medium,661.6,MEDIA
ES,22,M,JANTAR,17.0,52.7,21.5,7.3,31.1,472.0,medium,611.3,MEDIA
TO,34,M,CAFE DA MANHA,24.3,81.5,23.6,1.6,9.2,604.0,medium,675.6,MEDIA
RR,46,M,CAFE DA MANHA,31.4,75.8,32.3,13.4,14.4,729.0,high,803.9,ALTA
CE,39,M,LANCHE,33.2,71.0,32.7,0.7,19.8,700.0,medium,791.7,ALTA
MT,36,F,ALMOCO,25.1,26.8,13.6,11.9,11.0,306.0,low,397.8,BAIXA
PA,58,M,ALMOCO,33.3,30.4,11.1,9.2,4.1,348.0,low,389.5,BAIXA
PI,43,F,LANCHE,37.4,59.9,29.9,4.0,24.7,646.0,medium,765.1,ALTA
SE,49,F,CAFE DA MANHA,17.2,21.6,25.6,17.3,7.7,416.0,medium,451.0,MEDIA
SC,68,O,LANCHE,32.3,46.7,19.5,5.3,4.2,504.0,medium,518.9,MEDIA
TO,23,O,ALMOCO,12.9,54.2,26.5,2.1,17.9,510.0,medium,582.7,MEDIA
AL,40,M,CAFE DA MANHA,26.8,27.4,13.2,7.4,13.7,321.0,low,405.2,MEDIA
DF,22,M,LANCHE,18.4,74.2,23.8,13.5,0.0,585.0,medium,611.6,MEDIA
PR,76,M,ALMOCO,28.5,73.8,24.8,14.3,9.5,664.0,medium,699.0,MEDIA
AL,29,F,JANTAR,36.5,52.1,32.5,14.0,21.9,669.0,medium,762.5,ALTA
MA,69,M,JANTAR,22.2,22.7,16.6,1.1,20.6,352.0,low,413.6,MEDIA
BA,30,M,JANTAR,26.3,0.0,22.4,10.6,10.2,296.0,low,368.8,BAIXA
SE,38,M,ALMOCO,7.3,78.7,18.7,3.7,7.4,475.0,medium,549.3,MEDIA
AL,56,M,CAFE DA MANHA,31.5,21.5,27.0,2.3,15.1,447.0,medium,520.0,MEDIA
BA,70,F,JANTAR,0.0,13.1,19.0,6.5,17.6,197.0,low,306.8,BAIXA
CE,29,F,ALMOCO,27.3,63.2,20.3,11.6,10.1,535.0,medium,608.3,MEDIA
BA,31,F,LANCHE,26.5,78.5,18.1,16.9,22.6,527.0,medium,707.1,ALTA
PR,73,O,JANTAR,24.1,40.4,39.1,9.1,9.2,625.0,medium,664.9,MEDIA
MA,38,M,ALMOCO,25.5,53.9,0.8,9.9,6.7,327.0,low,371.4,BAIXA
SP,31,M,CAFE DA MANHA,22.7,56.9,22.5,3.5,12.0,517.0,medium,575.9,MEDIA
ES,64,M,LANCHE,19.5,87.4,26.1,2.0,4.4,629.0,medium,684.1,MEDIA
PB,23,F,LANCHE,31.2,66.0,19.9,10.9,11.4,524.0,medium,635.3,MEDIA
PI,72,F,ALMOCO,23.5,40.0,19.5,3.4,9.5,436.0,medium,474.3,MEDIA
PE,73,M,LANCHE,39.3,10.9,37.8,10.8,22.8,601.0,medium,653.8,MEDIA
RO,71,O,LANCHE,19.0,42.1,19.4,11.0,17.0,403.0,medium,509.0,MEDIA
CE,36,M,ALMOCO,25.6,24.3,19.7,0.4,16.3,381.0,low,442.9,MEDIA
PA,25,M,CAFE DA MANHA,43.5,50.0,22.8,11.6,26.7,575.0,medium,709.2,ALTA
RO,44,F,LANCHE,42.7,0.0,28.9,14.2,9.9,395.0,low,498.9,MEDIA
SC,39,O,LANCHE,44.0,64.1,11.9,9.8,21.9,541.0,medium,646.7,MEDIA
PE,78,F,JANTAR,15.7,75.1,20.3,5.1,16.5,502.0,medium,622.1,MEDIA
PI,57,O,CAFE DA MANHA,14.3,66.7,29.7,6.4,18.1,586.0,medium,676.5,MEDIA
SC,77,M,JANTAR,26.0,63.7,17.9,6.4,2.3,539.0,medium,541.9,MEDIA
PE,65,F,LANCHE,3.5,41.0,12.6,6.8,3.1,273.0,low,317.4,BAIXA
SE,63,F,LANCHE,24.2,60.6,14.6,10.1,12.5,495.0,medium,540.8,MEDIA
AM,25,F,ALMOCO,43.1,8.6,8.4,12.2,7.0,279.0,low,334.8,BAIXA
MA,22,M,CAFE DA MANHA,25.4,21.5,41.7,15.3,3.8,589.0,medium,608.7,MEDIA
AM,20,O,ALMOCO,32.6,58.8,24.4,14.8,15.4,582.0,medium,676.4,MEDIA
AP,55,M,ALMOCO,16.7,5.2,29.4,13.2,27.9,370.0,low,490.2,MEDIA
MG,30,M,ALMOCO,9.1,75.9,14.5,9.8,17.3,492.0,medium,559.3,MEDIA
DF,80,F,JANTAR,18.5,78.0,30.0,1.8,9.4,667.0,medium,697.2,MEDIA
MT,26,O,CAFE DA MANHA,24.0,63.4,24.2,13.1,14.5,491.0,medium,651.6,MEDIA
MS,77,O,JANTAR,44.0,31.0,20.0,16.6,10.1,439.0,medium,553.6,MEDIA
PE,60,F,ALMOCO,27.6,77.6,28.7,7.7,22.3,714.0,high,783.7,ALTA
SE,24,M,JANTAR,35.8,61.8,27.3,6.9,9.7,597.0,medium,688.7,MEDIA
RR,21,O,ALMOCO,29.4,52.3,32.8,4.1,14.9,632.0,medium,689.8,MEDIA
MT,42,M,LANCHE,19.2,31.8,27.0,2.3,12.8,444.0,medium,502.8,MEDIA
GO,39,F,LANCHE,19.7,34.4,12.5,3.1,12.3,353.0,low,384.3,BAIXA
RS,37,M,JANTAR,13.1,32.8,14.5,9.6,19.7,314.0,low,412.1,MEDIA
AM,51,F,CAFE DA MANHA,0.0,28.0,13.2,6.7,9.0,170.0,low,280.2,BAIXA
PB,26,F,CAFE DA MANHA,38.3,67.0,15.8,1.8,16.4,563.0,medium,632.6,MEDIA
MS,26,F,JANTAR,37.4,39.1,27.2,0.5,24.4,516.0,medium,649.4,MEDIA
BA,61,M,CAFE DA MANHA,24.5,53.5,30.7,3.7,13.4,604.0,medium,649.3,MEDIA
PE,80,M,LANCHE,23.1,47.3,17.8,4.3,18.0,472.0,medium,522.4,MEDIA
GO,35,M,CAFE DA MANHA,18.1,46.6,17.8,8.4,8.7,446.0,medium,470.6,MEDIA
CE,76,M,CAFE DA MANHA,28.1,65.2,32.6,8.4,35.7,674.0,medium,826.2,ALTA
PI,39,F,LANCHE,28.8,7.5,24.7,25.9,28.5,413.0,medium,533.3,MEDIA
BA,39,M,LANCHE,22.7,27.3,10.2,7.8,32.6,319.0,low,437.8,MEDIA
RJ,23,F,LANCHE,25.6,48.0,43.8,9.3,36.9,671.0,medium,854.8,ALTA
BA,44,M,ALMOCO,23.0,38.4,20.6,6.6,13.3,487.0,medium,497.4,MEDIA
MS,49,M,LANCHE,22.2,62.0,22.6,11.5,24.3,525.0,medium,660.4,MEDIA
RO,59,F,JANTAR,33.9,73.6,8.4,7.4,16.5,572.0,medium,586.4,MEDIA
DF,27,M,ALMOCO,42.0,69.4,13.2,15.7,27.0,563.0,medium,703.8,ALTA
RS,29,M,ALMOCO,0.1,54.0,13.0,11.3,10.6,329.0,low,398.4,BAIXA
RN,45,M,ALMOCO,22.0,50.5,5.6,13.6,22.5,343.0,low,457.6,MEDIA
SP,22,M,LANCHE,14.8,58.2,16.8,12.2,17.7,457.0,medium,538.4,MEDIA
BA,27,F,ALMOCO,29.8,42.4,21.3,12.7,26.7,502.0,medium,612.7,MEDIA
RN,57,M,LANCHE,31.1,64.8,16.0,8.8,11.6,566.0,medium,591.6,MEDIA
SE,78,M,ALMOCO,40.3,31.7,23.5,12.3,9.8,520.0,medium,563.3,MEDIA
RS,54,F,LANCHE,39.2,28.1,29.8,5.8,32.6,555.0,medium,679.4,MEDIA
CE,27,F,JANTAR,29.6,88.1,20.9,9.2,20.5,656.0,medium,759.3,ALTA
RR,80,F,ALMOCO,20.7,21.2,21.7,8.5,19.7,356.0,low,458.7,MEDIA
AP,50,M,ALMOCO,16.9,38.9,18.8,3.5,17.5,367.0,low,469.4,MEDIA
PR,63,O,ALMOCO,28.0,60.4,21.0,5.5,12.9,518.0,medium,605.2,MEDIA
PA,30,M,ALMOCO,26.3,74.1,28.8,6.7,27.2,682.0,medium,783.0,ALTA
PB,54,M,ALMOCO,35.8,39.3,22.1,2.5,8.1,471.0,medium,536.7,MEDIA
PB,22,O,JANTAR,22.8,49.6,14.3,14.1,5.2,389.0,low,467.3,MEDIA
AC,57,F,ALMOCO,26.7,13.1,17.3,7.6,32.2,268.0,low,458.9,MEDIA
PA,30,F,CAFE DA MANHA,39.1,55.4,19.5,11.1,15.7,611.0,medium,638.5,MEDIA
SE,75,F,CAFE DA MANHA,30.6,51.8,22.2,6.7,4.0,535.0,medium,558.8,MEDIA
MS,21,M,ALMOCO,26.4,81.5,15.0,9.3,2.9,592.0,medium,596.8,MEDIA
ES,59,F,JANTAR,39.8,78.5,28.5,8.5,8.5,814.0,high,780.7,ALTA
TO,26,F,ALMOCO,21.4,43.3,16.5,12.9,12.8,421.0,medium,484.3,MEDIA
AP,61,M,ALMOCO,31.7,42.7,21.5,5.2,18.1,432.0,medium,573.9,MEDIA
PA,49,M,ALMOCO,22.9,35.3,17.6,4.5,21.6,387.0,low,486.6,MEDIA
PA,78,M,JANTAR,19.7,16.6,18.5,10.5,12.3,315.0,low,381.9,BAIXA
MG,59,O,JANTAR,16.7,45.8,35.3,0.0,18.4,543.0,medium,641.3,MEDIA
SP,41,M,CAFE DA MANHA,33.6,37.5,18.9,5.3,4.9,441.0,medium,484.7,MEDIA
MS,23,M,LANCHE,12.4,59.1,21.1,11.0,39.8,480.0,medium,657.1,MEDIA
TO,55,F,LANCHE,34.3,44.0,21.0,8.4,22.3,479.0,medium,608.2,MEDIA
AL,45,F,LANCHE,17.5,27.4,15.9,0.4,15.9,309.0,low,387.1,BAIXA
RN,21,M,ALMOCO,25.1,42.4,4.7,9.0,15.7,340.0,low,393.1,BAIXA
PE,54,F,LANCHE,20.2,62.6,29.7,3.4,3.8,624.0,medium,620.5,MEDIA
DF,31,F,LANCHE,33.5,30.3,14.2,5.5,24.8,380.0,low,493.2,MEDIA
DF,32,F,CAFE DA MANHA,13.2,29.9,30.6,6.0,22.8,459.0,medium,551.0,MEDIA
RN,18,M,CAFE DA MANHA,31.2,80.4,8.7,8.1,19.3,538.0,medium,618.1,MEDIA
PI,41,M,ALMOCO,11.6,42.4,30.5,6.9,5.6,489.0,medium,526.7,MEDIA
PE,31,F,CAFE DA MANHA,14.3,58.6,21.1,11.5,7.2,458.0,medium,533.3,MEDIA
AL,22,M,ALMOCO,19.7,61.4,17.2,8.7,16.3,513.0,medium,561.8,MEDIA
PE,45,F,JANTAR,26.2,39.7,13.1,5.1,13.7,371.0,low,446.5,MEDIA
TO,31,M,JANTAR,48.1,85.7,30.5,8.7,29.6,752.0,high,945.5,ALTA
AC,26,F,CAFE DA MANHA,42.0,63.5,23.7,6.5,16.0,669.0,medium,712.3,ALTA
MG,47,F,CAFE DA MANHA,20.5,65.5,25.2,10.8,37.8,554.0,medium,743.6,ALTA
PA,21,F,LANCHE,17.1,64.3,17.4,13.4,26.5,505.0,medium,615.0,MEDIA
SP,80,O,ALMOCO,30.2,41.6,30.2,11.0,0.0,545.0,medium,581.0,MEDIA
ES,47,O,CAFE DA MANHA,27.2,57.4,11.0,2.6,15.6,400.0,medium,505.0,MEDIA
MG,80,M,JANTAR,31.8,19.8,29.8,14.0,11.8,464.0,medium,549.8,MEDIA
RN,73,M,CAFE DA MANHA,26.9,48.4,14.1,10.6,0.1,438.0,medium,449.7,MEDIA
AL,79,F,CAFE DA MANHA,18.6,30.3,24.0,2.3,12.2,443.0,medium,465.0,MEDIA
RO,52,O,LANCHE,55.8,51.2,22.6,9.4,3.3,643.0,medium,663.4,MEDIA
RR,44,O,LANCHE,28.7,56.0,25.4,11.0,15.2,621.0,medium,650.2,MEDIA
RN,63,F,ALMOCO,17.5,78.0,15.6,8.1,0.0,532.0,medium,538.6,MEDIA
PI,23,M,LANCHE,7.5,59.6,22.7,7.5,16.2,476.0,medium,552.5,MEDIA
RS,70,O,JANTAR,16.7,84.5,17.4,4.0,33.1,587.0,medium,701.8,ALTA
RO,38,O,CAFE DA MANHA,26.0,54.5,22.0,10.5,4.3,517.0,medium,558.2,MEDIA
SP,18,F,LANCHE,31.1,44.6,11.2,7.1,0.9,417.0,medium,421.4,MEDIA
MS,32,F,CAFE DA MANHA,26.9,0.0,21.3,11.9,7.5,248.0,low,353.1,BAIXA
MG,33,F,ALMOCO,11.7,51.0,27.9,9.7,11.4,484.0,medium,566.9,MEDIA
PI,18,O,ALMOCO,30.1,30.4,19.4,1.6,16.4,437.0,medium,485.4,MEDIA
CE,60,M,ALMOCO,28.8,41.2,18.0,11.0,6.1,442.0,medium,488.4,MEDIA
SC,23,F,CAFE DA MANHA,31.4,27.6,15.8,6.6,4.2,371.0,low,408.2,MEDIA
RS,71,M,JANTAR,25.5,57.9,11.1,17.4,7.7,399.0,low,499.1,MEDIA
PI,46,M,ALMOCO,28.3,60.1,8.9,10.9,13.6,497.0,medium,509.9,MEDIA
GO,63,M,JANTAR,19.8,46.1,16.7,5.0,17.1,391.0,low,492.3,MEDIA
MA,39,F,ALMOCO,22.4,47.5,32.1,6.4,17.8,587.0,medium,652.5,MEDIA
MS,26,M,JANTAR,21.0,57.6,22.3,5.1,20.7,470.0,medium,608.1,MEDIA
PI,29,O,ALMOCO,37.9,51.9,11.9,1.2,16.5,455.0,medium,534.7,MEDIA
RO,58,F,ALMOCO,13.6,68.6,19.8,10.1,11.1,567.0,medium,571.6,MEDIA
RJ,63,F,LANCHE,15.4,57.9,39.0,0.0,15.2,683.0,medium,705.0,ALTA
SE,34,M,LANCHE,22.1,27.3,16.2,5.1,5.6,366.0,low,376.0,BAIXA
SE,40,M,ALMOCO,33.5,43.3,32.9,9.5,5.5,565.0,medium,644.3,MEDIA
RN,77,F,ALMOCO,35.7,60.5,13.1,3.3,12.9,456.0,medium,560.9,MEDIA
MT,71,F,LANCHE,15.3,78.4,18.8,4.1,20.0,540.0,medium,632.2,MEDIA
PE,44,F,LANCHE,15.8,7.2,23.4,5.0,14.6,280.0,low,371.0,BAIXA
MS,33,F,ALMOCO,22.6,38.1,21.0,7.8,18.3,406.0,medium,520.6,MEDIA
PE,36,F,LANCHE,19.2,76.7,17.2,7.4,18.1,500.0,medium,625.6,MEDIA
RO,51,F,ALMOCO,26.5,12.4,9.5,9.0,15.6,245.0,low,321.5,BAIXA
MA,53,O,ALMOCO,17.9,29.7,20.3,7.8,21.0,371.0,low,472.7,MEDIA
PA,29,F,LANCHE,23.2,55.6,11.7,5.7,9.7,435.0,medium,470.7,MEDIA
AL,22,F,JANTAR,32.0,68.8,7.8,8.9,14.4,480.0,medium,548.8,MEDIA
RN,49,M,ALMOCO,31.5,29.5,26.3,8.1,20.4,491.0,medium,578.5,MEDIA
PA,68,M,CAFE DA MANHA,11.3,20.1,10.9,5.1,16.8,243.0,low,301.1,BAIXA
MG,27,M,CAFE DA MANHA,27.0,15.7,13.0,12.3,0.0,260.0,low,312.4,BAIXA
PB,43,F,LANCHE,15.8,27.5,21.1,7.5,2.2,373.0,low,386.9,BAIXA
CE,28,F,ALMOCO,9.7,30.1,23.4,2.7,21.2,401.0,medium,460.0,MEDIA
PE,33,M,ALMOCO,23.3,69.1,18.9,15.4,46.4,541.0,medium,756.1,ALTA
RS,56,F,CAFE DA MANHA,21.0,70.1,23.3,10.4,9.7,647.0,medium,633.7,MEDIA
MA,36,M,JANTAR,4.2,73.3,23.3,9.1,21.7,511.0,medium,624.7,MEDIA
AM,34,M,ALMOCO,29.6,40.9,4.2,6.0,10.5,302.0,low,373.8,BAIXA
MT,80,O,LANCHE,24.6,43.8,26.1,8.9,20.1,525.0,medium,606.7,MEDIA
CE,28,M,CAFE DA MANHA,29.7,42.6,9.8,12.8,22.1,350.0,low,491.4,MEDIA
MT,29,M,CAFE DA MANHA,21.5,16.6,17.8,11.5,2.9,346.0,low,347.2,BAIXA
PE,76,F,CAFE DA MANHA,36.5,94.3,22.8,7.5,9.9,771.0,high,783.0,ALTA
AM,52,M,ALMOCO,32.6,19.6,27.7,15.5,15.6,434.0,medium,551.5,MEDIA
RS,20,F,ALMOCO,27.3,63.2,11.0,15.8,24.0,451.0,medium,588.6,MEDIA
DF,44,O,CAFE DA MANHA,15.3,40.1,30.2,3.7,1.2,520.0,medium,505.6,MEDIA
SP,53,F,ALMOCO,22.5,44.1,28.2,10.2,32.8,503.0,medium,671.8,MEDIA
RN,33,F,CAFE DA MANHA,14.1,20.1,33.4,3.2,11.0,451.0,medium,487.8,MEDIA
ES,52,M,ALMOCO,32.0,58.1,13.3,7.1,25.1,489.0,medium,594.7,MEDIA
PR,58,F,CAFE DA MANHA,16.1,53.6,18.6,10.6,26.9,477.0,medium,575.0,MEDIA
AP,33,M,CAFE DA MANHA,13.6,0.0,33.4,4.8,18.4,374.0,low,438.2,MEDIA
AP,69,M,CAFE DA MANHA,35.7,41.6,31.1,9.2,22.8,608.0,medium,698.7,MEDIA
SE,46,F,LANCHE,32.8,74.5,24.4,4.4,25.4,587.0,medium,759.2,ALTA
RO,78,M,JANTAR,17.3,66.4,18.0,3.3,28.3,476.0,medium,616.6,MEDIA
BA,23,F,LANCHE,34.9,50.9,21.3,8.0,27.6,578.0,medium,661.3,MEDIA
ES,38,M,CAFE DA MANHA,17.7,26.9,22.9,11.8,5.9,349.0,low,431.7,MEDIA
CE,63,F,JANTAR,23.5,48.5,32.4,12.1,10.2,543.0,medium,644.6,MEDIA
MT,74,M,JANTAR,31.0,41.8,15.8,13.2,6.2,413.0,medium,484.6,MEDIA
ES,31,M,ALMOCO,42.6,26.2,23.2,6.7,19.0,476.0,medium,573.4,MEDIA
GO,79,F,CAFE DA MANHA,8.1,35.2,29.7,12.6,28.7,481.0,medium,580.5,MEDIA
PB,30,F,LANCHE,21.7,52.8,21.3,5.8,6.7,523.0,medium,528.1,MEDIA
CE,44,O,JANTAR,31.7,37.9,20.2,15.6,3.1,457.0,medium,503.8,MEDIA
SC,37,M,LANCHE,15.3,24.3,13.6,11.9,0.0,303.0,low,304.6,BAIXA
RN,44,F,LANCHE,16.9,27.9,19.8,12.7,15.5,343.0,low,444.8,MEDIA
RS,74,O,LANCHE,34.8,41.4,25.6,11.3,1.3,525.0,medium,563.0,MEDIA
BA,64,F,JANTAR,10.3,80.3,28.4,3.7,11.5,562.0,medium,671.4,MEDIA
RN,68,F,CAFE DA MANHA,30.7,34.9,21.3,12.5,26.4,507.0,medium,584.7,MEDIA
RR,34,M,CAFE DA MANHA,28.8,48.3,18.2,7.7,30.6,473.0,medium,610.0,MEDIA
BA,77,F,JANTAR,30.8,42.5,25.9,13.2,18.5,537.0,medium,626.7,MEDIA
RS,45,O,CAFE DA MANHA,23.4,58.0,13.1,10.4,9.5,359.0,low,502.3,MEDIA
MA,59,F,ALMOCO,27.6,46.4,29.0,4.4,16.4,536.0,medium,631.4,MEDIA
RO,61,O,ALMOCO,11.2,73.7,17.2,15.3,2.2,471.0,medium,533.8,MEDIA
MG,59,F,CAFE DA MANHA,18.1,65.3,22.6,6.9,12.9,520.0,medium,602.4,MEDIA
RO,55,F,CAFE DA MANHA,25.2,46.3,22.5,15.2,2.4,492.0,medium,528.5,MEDIA
AM,48,M,LANCHE,15.7,41.0,17.3,6.6,33.1,404.0,medium,528.1,MEDIA
MT,58,F,ALMOCO,9.6,28.0,9.6,6.7,0.1,207.0,low,250.6,BAIXA
ES,75,F,LANCHE,26.7,67.7,10.1,10.4,30.4,480.0,medium,610.9,MEDIA
DF,42,F,ALMOCO,23.9,55.3,15.4,13.1,2.9,408.0,medium,493.2,MEDIA
GO,50,M,JANTAR,45.8,52.7,16.6,12.3,14.9,570.0,medium,627.6,MEDIA
MT,29,F,LANCHE,25.8,73.8,15.3,3.2,27.2,534.0,medium,651.3,MEDIA
AM,40,F,JANTAR,34.9,55.5,16.4,9.1,21.3,512.0,medium,612.6,MEDIA
RN,66,O,ALMOCO,36.6,48.2,22.3,0.0,22.5,579.0,medium,629.9,MEDIA
PB,58,M,CAFE DA MANHA,23.1,70.9,21.9,8.2,9.7,565.0,medium,628.3,MEDIA
RR,31,M,LANCHE,18.0,34.5,29.8,14.0,6.4,478.0,medium,531.8,MEDIA
RN,52,M,JANTAR,10.8,45.4,0.9,6.1,11.2,158.0,low,289.9,BAIXA
BA,69,M,CAFE DA MANHA,19.0,40.7,20.1,8.0,27.6,420.0,medium,546.1,MEDIA
AL,25,O,LANCHE,18.4,52.6,15.3,6.1,0.0,422.0,medium,433.9,MEDIA
MS,21,M,LANCHE,35.7,79.1,12.6,16.8,14.0,587.0,medium,662.2,MEDIA
MG,42,F,CAFE DA MANHA,31.7,40.9,17.9,8.7,14.4,472.0,medium,526.5,MEDIA
DF,59,M,LANCHE,32.6,55.0,29.3,5.6,13.6,630.0,medium,679.7,MEDIA
RO,37,M,CAFE DA MANHA,42.5,85.3,22.4,8.5,25.3,693.0,medium,831.0,ALTA
PR,69,O,CAFE DA MANHA,45.7,9.4,16.0,9.1,28.5,365.0,low,496.6,MEDIA
RS,71,F,JANTAR,24.8,55.4,17.7,7.3,7.0,445.0,medium,522.7,MEDIA
AP,51,M,ALMOCO,36.1,47.7,23.3,11.8,26.1,520.0,medium,672.9,MEDIA
RR,41,M,LANCHE,21.8,34.7,3.2,5.6,14.7,222.0,low,324.8,BAIXA
CE,20,O,LANCHE,27.8,43.5,10.3,8.7,28.1,345.0,low,507.7,MEDIA
MG,69,O,JANTAR,31.4,75.8,25.1,8.7,0.4,644.0,medium,673.7,MEDIA
MS,74,M,ALMOCO,34.0,37.6,30.4,1.7,16.1,538.0,medium,627.8,MEDIA
RR,45,F,ALMOCO,34.2,57.3,18.7,13.3,24.3,535.0,medium,658.1,MEDIA
ES,50,M,ALMOCO,1.1,56.9,15.8,4.5,10.5,314.0,low,425.2,MEDIA
DF,65,F,LANCHE,1.1,29.8,11.0,4.1,11.3,172.0,low,276.0,BAIXA
MA,61,M,ALMOCO,21.4,96.1,31.6,10.9,13.3,774.0,high,829.4,ALTA
MA,26,F,LANCHE,25.8,86.7,8.7,4.2,5.8,494.0,medium,559.9,MEDIA
BA,60,O,ALMOCO,30.7,64.2,39.1,4.2,20.3,750.0,high,821.1,ALTA
BA,76,M,CAFE DA MANHA,18.7,44.2,5.7,5.4,12.9,275.0,low,365.3,BAIXA
DF,65,F,JANTAR,50.6,30.4,17.4,13.6,25.6,540.0,medium,610.2,MEDIA
MG,48,M,JANTAR,29.1,37.4,24.5,1.3,8.0,469.0,medium,521.1,MEDIA
MA,50,M,ALMOCO,26.4,36.7,0.9,8.0,9.0,181.0,low,312.5,BAIXA
MT,34,M,LANCHE,22.9,87.0,24.3,3.4,40.9,706.0,high,828.7,ALTA
RN,59,M,ALMOCO,38.3,58.8,14.9,13.4,25.2,529.0,medium,650.1,MEDIA
DF,33,O,LANCHE,23.7,33.5,23.4,11.7,22.4,413.0,medium,552.4,MEDIA
SP,39,M,ALMOCO,22.4,17.3,15.2,10.5,16.5,284.0,low,382.6,BAIXA
RS,34,F,ALMOCO,31.7,69.8,24.8,8.8,26.9,638.0,medium,754.4,ALTA
BA,39,M,CAFE DA MANHA,39.8,50.3,19.6,0.3,1.4,524.0,medium,543.0,MEDIA
GO,41,F,CAFE DA MANHA,26.9,31.7,17.4,5.2,26.6,344.0,low,507.8,MEDIA
BA,23,F,LANCHE,27.2,45.0,24.6,7.3,2.6,490.0,medium,535.2,MEDIA
ES,63,O,ALMOCO,37.1,41.9,25.7,9.8,12.8,510.0,medium,618.1,MEDIA
MA,45,M,CAFE DA MANHA,29.8,59.0,22.8,13.9,3.0,559.0,medium,600.2,MEDIA
AM,77,M,CAFE DA MANHA,36.4,23.2,20.5,4.6,12.5,441.0,medium,482.1,MEDIA
AC,29,F,ALMOCO,25.5,37.7,25.7,10.1,14.2,466.0,medium,561.1,MEDIA
MS,60,F,LANCHE,15.3,55.5,8.1,4.6,18.5,278.0,low,439.3,MEDIA
RJ,29,F,ALMOCO,30.2,73.2,32.1,10.0,15.5,705.0,high,784.5,ALTA
GO,52,M,LANCHE,16.9,69.1,24.8,0.0,32.9,572.0,medium,698.8,MEDIA
SC,48,M,JANTAR,31.5,25.5,17.2,6.2,42.4,406.0,medium,564.8,MEDIA
MA,46,F,ALMOCO,33.7,42.3,29.1,8.0,34.5,528.0,medium,719.9,ALTA
SP,59,F,JANTAR,19.8,87.4,12.7,12.6,0.0,538.0,medium,568.3,MEDIA
DF,70,F,CAFE DA MANHA,35.3,43.8,21.8,8.5,9.7,535.0,medium,568.4,MEDIA
PB,37,M,ALMOCO,17.9,83.3,27.2,13.6,25.3,663.0,medium,778.0,ALTA
RS,71,M,CAFE DA MANHA,14.6,34.4,14.0,2.1,25.9,310.0,low,429.8,MEDIA
AL,29,O,CAFE DA MANHA,25.2,60.0,37.9,6.6,29.3,782.0,high,812.3,ALTA
SE,36,F,CAFE DA MANHA,31.8,53.8,27.3,6.1,6.9,643.0,medium,627.9,MEDIA
MA,37,M,CAFE DA MANHA,27.4,83.3,8.8,6.1,4.7,493.0,medium,553.0,MEDIA
PA,78,O,JANTAR,17.9,64.4,20.8,7.6,23.4,509.0,medium,625.2,MEDIA
PE,25,F,ALMOCO,21.5,28.2,19.8,2.4,16.8,349.0,low,449.0,MEDIA
PI,42,M,JANTAR,14.1,68.9,22.5,8.9,24.0,509.0,medium,648.3,MEDIA
AC,44,M,ALMOCO,1.4,13.2,20.1,6.4,26.9,256.0,low,359.7,BAIXA
SC,68,F,LANCHE,22.0,33.5,11.4,9.1,8.9,370.0,low,378.4,BAIXA
PE,48,M,CAFE DA MANHA,41.8,47.2,22.8,9.8,0.0,545.0,medium,580.8,MEDIA
TO,78,F,ALMOCO,18.9,43.7,19.0,9.6,11.1,415.0,medium,485.0,MEDIA
